Protein,pdb
TP53,1A1U
AR,1E3G
EGFR,1DNQ
SCN5A,2KBI
CTNNB1,1G3J
BRCA1,1JM7
AKT1,1H10
MROH2B,
MTHFR,
MTOR,1AUE
MUC12,
MUC4,
MST1L,
MUC2,
MYO15A,
NALCN,
MYH2,
MYO9A,
PDE4DIP,
MYH1,
MTMR4,
MUC16,
MUC5B,
MYH4,
MYH9,2LNK
MUC17,
MXRA5,
NCOR2,1KKQ
NBEA,1MI1
NBPF9,
NBPF10,
NCOR1,2EQR
NBAS,
NFE2L3,
MYO3A,
NEB,1ARK
NLRP5,
NFKB1,1MDI
NHS,
NOTCH3,4ZLP
NOTCH1,1PB5
NOTCH2,2OO4
NCOA3,1KBH
GRIN2B,1S11
NF1,1NF1
NLRP1,1PN5
NTRK2,1HCF
NSD1,3OOI
NOTCH4,
MT-ND1,
MT-ND4,
NRG1,1HAE
MT-ND2,
MT-ND5,
OBSCN,1V1C
OTOP1,
PIK3R1,1A0N
PALLD,2DM2
PALB2,2W18
PCLO,1UJD
PIK3C2G,2WWE
OR2M5,
PAPPA2,
PCDH15,4XHZ
DCHS2,
CBFB,1CL3
PEG3,4BHX
PCDH10,
PCMTD1,
PBRM1,2KTB
PCSK5,
PCDHA10,
PCDHB6,
PKHD1,
PKHD1L1,
PIK3CA,2ENQ
PLEC,1MB8
PLXNB2,4.00E+71
PKD1,1B4R
PRDM16,2N1I
RAD50,
HRAS,121P
PTPRD,1X5Z
PTPRT,2OOQ
PRAMEF4,
PRB4,
PRDM14,
PRRC2B,
PRG4,
PREX2,
PRKDC,
PTEN,1D5R
PRUNE2,
PXDN,
RGPD3,
KRAS,1D8D
NRAS,2N9C
RB1,1AD6
RICTOR,
RBFOX1,2ERR
RALGAPA1,
RELN,
ARHGAP5,2EE4
RIMS2,1V27
RP1,
RNF213,
RNF43,4KNG
RBMXL3,
SCN3A,
RTEL1,
RYR1,
SACS,1IUR
SLC35G6,
RYR2,4JKQ
RYR3,4ERV
RUNX1,1CMO
SCAMP3,
SDK1,
SCN10A,
SCN11A,
SETD2,2A7O
TBC1D5,
TBP,1C9B
TENM1,
TENM3,
TNS3,
TET1,
TEX15,
TMPRSS13,
TPTE,
TCHH,
TOP2A,1LWZ
MPL,
TTI1,
TRRAP,
TSHZ3,2DMI
TRPM3,
TSC1,4Z6Y
TTC7B,5DSE
USP32,
UBR5,1I2T
UBR4,
USP34,
UNC79,
UBAP2L,
UBR3,
UBA7,
ULK2,
USH2A,
USP25,2MUX
VCPIP1,
UTRN,1BHD
HDLBP,1VIG
WEE1,1X8B
VPS13D,
ZNF208,
ZNF814,
ZBED4,
ZFHX4,
HLA-A,
ABCA12,
ABCA13,
ABCA4,
ABCD4,
AKAP9,
ACTB,3BYH
ADAM7,
AFF2,
ALS2CR12,
AKT3,2X18
ANKRD11,
AHNAK,4DRW
ANKRD30A,
ALMS1,
AGRN,
AHNAK2,4CN0
ALB,1AO6
GNAS,
ALK,2KUP
ARID1A,1RYU
ARMC12,
ANK3,4O6X
SNAP91,
APOB,
CDKN2A,
ARHGEF4,2DX1
ARID2,
APC,1DEB
AQP7,
ARAP2,1X40
ARID1B,2CXY
ASXL1,
ATM,
ASPM,
BAP1,
BAZ2B,2E7O
ATXN1,1OA8
ADAMTS7,
ADAMTS20,
BAGE2,
ATRX,2JM1
BRCA2,1N0W
ATR,
ADAMTS12,
CD163L1,
BRAF,1UWH
CACNA1H,
CDH4,
BIRC6,3CEG
CD163,
CABIN1,1N6J
CDH1,1O6S
CREBBP,1JSP
CACNA2D3,
CACNA1E,3BXL
CELSR1,
CELSR3,
CDKN1A,1AXC
CEP192,4N7Z
NEDD9,2L81
CDK8,3RGF
C2orf78,
CD36,5LGD
CCER1,
CCSER1,
CIT,
CUBN,3KQ4
DOCK7,
DNAH10,
DNAH14,
DOT1L,1NW3
DSG4,
DLG5,1UIT
DMBT1,
DMD,1DXX
DOCK3,
DMXL1,
CDK12,4CXA
CENPF,
CHD4,1MM2
C10orf113,
CNTNAP2,
COL3A1,2V53
COL5A1,1A89
COL6A6,
COL7A1,
C6,3T5O
COL11A2,
COG2,
MT-CO2,3VRJ
COL14A1,
COL4A5,
COL9A1,2UUR
CMYA5,
COL11A1,
COL12A1,
COL18A1,1BNL
CSMD2,
CSMD3,
CROCCP2,
COL22A1,
CSMD1,2EHF
COL6A3,1KNT
MT-CO1,
MT-CO3,
MT-CYB,
VCAN,
DCC,2ED7
DGKB,
DICER1,2EB1
DIDO1,2M3H
EFCAB5,
DNAH3,
DNAH6,
DNAH11,
DNAH8,
DNAH9,
DST,3GJO
DSCAM,
DNAH1,
DNAH5,
DNAH7,
DYNC2H1,4RH7
DNAH2,
EPHA8,1UCV
EPHB1,2DJS
ERBB3,1M6B
ERBB4,2AHX
ERCC2,5IVW
EPHA2,1MQB
ESRRA,1XB7
ESPL1,
ERBB2,1MFG
EP300,1L3E
EPC1,
ERRFI1,2RF9
FAM47C,
FAM135B,
FAM208B,
FGFRL1,
FLG2,
EYS,
FAT2,
FAT3,
ETV6,1JI7
FAT1,
FAT4,
FBN2,
FGFR3,1RY7
FASN,1XKT
FAM178B,
FREM2,
FLG,4PCW
FOXA1,
FLT3,1RJB
FMN2,2YLE
FCGBP,
FOLH1,1Z8L
FRAS1,
FSIP2,
GDPD4,
WBSCR17,
GATA3,4HC7
GLI3,4BLD
GOLGB1,
GPR179,
GYS1,
GRIA1,
GPR98,
GXYLT1,
HECW1,3L4H
HEATR1,
HMCN1,
HDGFRP2,3EAE
HERC1,4O2W
HERC2,2KEO
HRNR,
HSP90AA1,1BYQ
HPS3,
IKBKE,
HYDIN,2E6J
IGSF10,
HUWE1,2EKK
IFITM3,
KIAA0100,
IRS2,3FQW
ITIH6,
KIAA0556,
KRT4,
KIAA1109,
KIF26B,
KALRN,
ITPR3,
KDM6A,3AVR
KCNT2,
KEAP1,1U6D
KMT2C,2YSM
KMT2A,2AGH
KRTAP10-7,
MKI67,1R21
KIT,1PKG
LAMA1,
LAMA2,4YEP
PRKCQ,1XJD
LAMB3,
PPFIBP2,3QH9
KRTAP5-10,
KMT2D,3UVK
LAMA3,
LGALS9,2EAK
LYST,
MAGEA6,
MAGEC1,
LOXHD1,
LRP2,2M0P
LRP1B,
LRP1,1CR8
LRRC7,
MAP3K1,
MACROD2,4IQY
MACF1,4Z6G
MAP1B,
MAGEA1,1W72
MCL1,2KBW
SPEN,1OW1
MDN1,
MGAM,2QLY
MAP2K4,3ALN
HSPG2,3SH4
PCGF2,
PKD1L1,
PIK3CG,1E8Y
ROS1,3ZBF
SHANK2,
SF3B1,2F9D
SLIT2,2V70
SHOC2,
SMAD4,1DD1
SMG5,2HWY
SETD1A,3S8S
SRRM2,
STAG2,4PJU
SPTAN1,2FOT
GH1,1A22
SPI1,
SMARCA4,2GRC
SPTA1,1OWA
POMK,
SUCLG2,
SI,3LPO
SPHKAP,
SSPO,
STAB2,
SYCP2,
SYNE1,4DXR
SYNE2,4DXS
TMEM132D,
TDO2,4PW8
TMEM132B,
TENM4,
TET3,
TGFBR2,1KTZ
THSD7A,
THSD7B,
TG,
TNR,
TERT,2BCK
ZFP36L1,1W0V
THADA,
TBX3,1H6F
TTN,1BPV
WAS,1CEE
XIRP2,4F14
XRN1,
WWP1,1ND7
WDFY4,
WNK1,4PWN
VWF,1AO3
XDH,2CKJ
VPS13B,
VPS13C,
YAP1,1JMQ
ZAN,
ZNF384,
ZNF415,
ZNF83,
ZFHX3,2DA1
ZIC3,2EJ4
ZNF142,
ZNF233,
ZNF536,
ND5,
BZRAP1,
SUV420H1,
C11orf30,
C17orf97,
C1orf173,
